224	Ridicule (1996)	Drama
225	101 Dalmatians (1996)	Aile
226	Die Hard 2 (1990)	Aksiyon
227	Star Trek VI The Undiscovered Country (1991)	Bilim Kurgu
228	Star Trek The Wrath of Khan (1982)	Bilim Kurgu
229	Star Trek III The Search for Spock (1984)	Bilim Kurgu
230	Star Trek IV The Voyage Home (1986)	Bilim Kurgu
231	Batman Returns (1992)	Aksiyon
232	Young Guns (1988)	Aksiyon
233	Under Siege (1992)	Aksiyon
234	Jaws (1975)	Gerilim
235	Mars Attacks (1996)	Komedi
236	Citizen Ruth (1996)	Drama
237	Jerry Maguire (1996)	Drama
238	Raising Arizona (1987)	Komedi
239	Sneakers (1992)	Aksiyon
240	Beavis and Butt-head Do America (1996)	Animasyon
241	The Last of the Mohicans (1992)	Aksiyon
242	Kolya (1996)	Drama
243	Jungle2Jungle (1997)	Komedi
244	Smillas Sense of Snow (1997)	Drama
245	The Devils Own (1997)	Aksiyon
246	Chasing Amy (1997)	Romantik
247	Turbo A Power Rangers Movie (1997)	Aksiyon
248	Grosse Pointe Blank (1997)	Komedi
249	Austin Powers International Man of Mystery (1997)	Komedi
250	The Fifth Element (1997)	Bilim Kurgu
251	Shall We Dance? (1996)	Drama
252	The Lost World Jurassic Park (1997)	Aksiyon
253	The Pillow Book (1995)	Drama
254	Batman & Robin (1997)	Aksiyon
255	My Best Friends Wedding (1997)	Komedi
256	When the Cats Away (1996)	Drama
257	Men in Black (1997)	Bilim Kurgu
258	Contact (1997)	Bilim Kurgu
259	George of the Jungle (1997)	Macera
260	Event Horizon (1997)	Bilim Kurgu
261	Air Bud (1997)	Drama
262	In the Company of Men (1997)	Drama
263	Steel (1997)	Aksiyon
264	Mimic (1997)	Korku
265	The Hunt for Red October (1990)	Aksiyon
266	Kull the Conqueror (1997)	Aksiyon
267	Unknown (2011)	Gerilim
268	Chasing Amy (1997)	Romantik
269	The Full Monty (1997)	Komedi
270	Gattaca (1997)	Bilim Kurgu
271	Starship Troopers (1997)	Aksiyon
272	Good Will Hunting (1997)	Drama
273	Heat (1995)	Suç
274	Sabrina (1995)	Romantik
275	Sense and Sensibility (1995)	Drama
276	Leaving Las Vegas (1995)	Drama
277	Restoration (1995)	Drama
278	Bed of Roses (1996)	Drama
279	Once Upon a Time When We Were Colored (1995)	Drama
280	Up Close and Personal (1996)	Drama
281	The River Wild (1994)	Aksiyon
282	A Time to Kill (1996)	Drama
283	Emma (1996)	Drama
284	Tin Cup (1996)	Komedi
285	Secrets & Lies (1996)	Drama
286	The English Patient (1996)	Drama
287	Marvins Room (1996)	Drama
288	Scream (1996)	Korku
289	Evita (1996)	Müzikal
290	Fierce Creatures (1997)	Komedi
291	Absolute Power (1997)	Suç
292	Rosewood (1997)	Drama
293	Donnie Brasco (1997)	Suç
294	Liar Liar (1997)	Komedi
295	Breakdown (1997)	Gerilim
296	La Promesse (1996)	Drama
297	Ulees Gold (1997)	Drama
298	Face Off (1997)	Aksiyon
299	Hoodlum (1997)	Suç
300	Air Force One (1997)	Aksiyon
301	In & Out (1997)	Komedi
302	LA Confidential (1997)	Suç
303	Ulees Gold (1997)	Drama
304	Fly Away Home (1996)	Drama
305	The Ice Storm (1997)	Drama
306	Mrs Brown (1997)	Drama
307	The Devils Advocate (1997)	Drama
308	FairyTale A True Story (1997)	Drama
309	Deceiver (1997)	Drama
310	The Rainmaker (1997)	Drama
311	The Wings of the Dove (1997)	Drama
312	Midnight in the Garden of Good and Evil (1997)	Suç
313	Titanic (1997)	Drama
314	3 Ninjas High Noon At Mega Mountain (1998)	Aksiyon
315	Apt Pupil (1998)	Drama
316	As Good As It Gets (1997)	Komedi
317	In the Name of the Father (1993)	Drama
318	Schindlers List (1993)	Drama
319	Everyone Says I Love You (1996)	Komedi
320	Paradise Lost The Child Murders at Robin Hood Hills (1996)	Belgesel
321	Mother (1996)	Drama
322	Murder at 1600 (1997)	Suç
323	Dantes Peak (1997)	Aksiyon
324	Lost Highway (1997)	Drama
325	Crash (1996)	Drama
326	GI Jane (1997)	Aksiyon
327	Cop Land (1997)	Suç
328	Conspiracy Theory (1997)	Aksiyon
329	Desperate Measures (1998)	Aksiyon
330	187 (1997)	Drama
331	The Edge (1997)	Aksiyon
332	Kiss the Girls (1997)	Suç
333	The Game (1997)	Drama
334	U Turn (1997)	Suç
335	How to Be a Player (1997)	Komedi
336	Playing God (1997)	Suç
337	The House of Yes (1997)	Komedi
338	Bean (1997)	Komedi
339	Mad City (1997)	Drama
340	Boogie Nights (1997)	Drama
341	Critical Care (1997)	Drama
342	The Man Who Knew Too Little (1997)	Komedi
343	Alien Resurrection (1997)	Bilim Kurgu
344	The Apostle (1997)	Drama
345	Deconstructing Harry (1997)	Komedi
346	Jackie Brown (1997)	Suç
347	Wag the Dog (1997)	Komedi
348	Desperate Measures (1998)	Aksiyon
349	Hard Rain (1998)	Aksiyon
350	Fallen (1998)	Suç
351	The Prophecy II (1998)	Fantastik
352	Spice World (1997)	Komedi
353	Deep Rising (1998)	Aksiyon
354	The Wedding Singer (1998)	Komedi
355	Sphere (1998)	Bilim Kurgu
356	The Client (1994)	Drama
357	One Flew Over the Cuckoos Nest (1975)	Drama
358	Spawn (1997)	Aksiyon
359	The Assignment (1997)	Suç
360	Wonderland (1997)	Drama
361	Incognito (1997)	Suç
362	Blues Brothers 2000 (1998)	Komedi
363	Sudden Death (1995)	Aksiyon
364	Ace Ventura When Nature Calls (1995)	Komedi
365	Powder (1995)	Drama
366	Dangerous Minds (1995)	Drama
367	Clueless (1995)	Komedi
368	Bio-Dome (1996)	Komedi
369	Black Sheep (1996)	Komedi
370	Mary Reilly (1996)	Drama
371	The Bridges of Madison County (1995)	Drama
372	Jeffrey (1995)	Komedi
373	Judge Dredd (1995)	Aksiyon
374	Mighty Morphin Power Rangers The Movie (1995)	Aksiyon
375	Showgirls (1995)	Drama
376	Houseguest (1994)	Komedi
377	Heavyweights (1994)	Komedi
378	Miracle on 34th Street (1994)	Drama
379	Tales From the Crypt Presents Demon Knight (1995)	Korku
380	Star Trek Generations (1994)	Bilim Kurgu
381	Muriels Wedding (1994)	Komedi
382	The Adventures of Priscilla Queen of the Desert (1994)	Komedi
383	The Flintstones (1994)	Komedi
384	Naked Gun The Final Insult (1994)	Komedi
385	True Lies (1994)	Aksiyon
386	Addams Family Values (1993)	Komedi
387	The Age of Innocence (1993)	Drama
388	Beverly Hills Cop III (1994)	Aksiyon
389	Black Beauty (1994)	Drama
390	Fear of a Black Hat (1993)	Komedi
391	Last Action Hero (1993)	Aksiyon
392	The Man Without a Face (1993)	Drama
393	Mrs Doubtfire (1993)	Komedi
394	Radioland Murders (1994)	Komedi
395	Robin Hood Men in Tights (1993)	Komedi
396	Serial Mom (1994)	Komedi
397	Striking Distance (1993)	Aksiyon
398	Super Mario Bros (1993)	Aksiyon
399	The Three Musketeers (1993)	Aksiyon
400	The Little Rascals (1994)	Komedi
401	The Brady Bunch Movie (1995)	Komedi
402	Ghost (1990)	Drama
403	Batman (1989)	Aksiyon
404	Pinocchio (1940)	Animasyon
405	Mission Impossible (1996)	Aksiyon
406	Thinner (1996)	Drama
407	Spy Hard (1996)	Komedi
408	A Close Shave (1995)	Animasyon
409	Jack (1996)	Drama
410	Kingpin (1996)	Komedi
411	The Nutty Professor (1996)	Komedi
412	A Very Brady Sequel (1996)	Komedi
413	Tales from the Crypt Presents Bordello of Blood (1996)	Korku
414	My Favorite Year (1982)	Komedi
415	The Apple Dumpling Gang (1975)	Komedi
416	Old Yeller (1957)	Drama
417	The Parent Trap (1961)	Aile
418	Cinderella (1950)	Aile
419	Mary Poppins (1964)	Aile
420	Alice in Wonderland (1951)	Aile
421	William Shakespeares Romeo and Juliet (1996)	Drama
422	Aladdin and the King of Thieves (1996)	Animasyon
423	ET the Extra-Terrestrial (1982)	Bilim Kurgu
424	Children of the Corn The Gathering (1996)	Korku
425	Bob Roberts (1992)	Komedi
426	The Transformers The Movie (1986)	Animasyon
427	To Kill a Mockingbird (1962)	Drama
428	Harold and Maude (1971)	Drama
429	The Day the Earth Stood Still (1951)	Bilim Kurgu
430	Duck Soup (1933)	Komedi
431	Highlander (1986)	Aksiyon
432	Fantasia (1940)	Animasyon
433	Heathers (1989)	Komedi
434	Forbidden Planet (1956)	Bilim Kurgu
435	Butch Cassidy and the Sundance Kid (1969)	Aksiyon
436	An American Werewolf in London (1981)	Korku
437	Amityville 1992 Its About Time (1992)	Korku
438	Amityville 3-D (1983)	Korku
439	Amityville A New Generation (1993)	Korku
440	Amityville II The Possession (1982)	Korku
441	The Amityville Horror (1979)	Korku
442	The Amityville Curse (1990)	Korku
443	The Birds (1963)	Korku
444	The Blob (1958)	Korku
445	The Body Snatcher (1945)	Korku
446	Burnt Offerings (1976)	Korku
447	Carrie (1976)	Korku
448	The Omen (1976)	Korku
449	Star Trek The Motion Picture (1979)	Bilim Kurgu
450	Star Trek V The Final Frontier (1989)	Bilim Kurgu
451	Grease (1978)	Romantik
452	Jaws 2 (1978)	Aksiyon
453	Jaws 3-D (1983)	Aksiyon
454	Bastard Out of Carolina (1996)	Drama
455	Jackie Chans First Strike (1996)	Aksiyon
456	Beverly Hills Ninja (1997)	Komedi
457	Free Willy 3 The Rescue (1997)	Aile
458	Nixon (1995)	Drama
459	The Beloved Country Cry (1995)	Drama
460	The Crossing Guard (1995)	Drama
461	Smoke (1995)	Drama
462	Like Water For Chocolate (1992)	Drama
463	The Secret of Roan Inish (1994)	Drama
464	Vanya on 42nd Street (1994)	Drama
465	The Jungle Book (1994)	Aile
466	Red Rock West (1992)	Suç
467	A Bronx Tale (1993)	Drama
468	Rudy (1993)	Drama
469	Short Cuts (1993)	Drama
470	Tombstone (1993)	Aksiyon
471	Courage Under Fire (1996)	Aksiyon
472	Dragonheart (1996)	Aksiyon
473	James and the Giant Peach (1996)	Aile
474	Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb (1963)	Komedi
475	Trainspotting (1996)	Drama
476	The First Wives Club (1996)	Komedi
477	Matilda (1996)	Aile
478	The Philadelphia Story (1940)	Drama
479	Vertigo (1958)	Drama
480	North by Northwest (1959)	Aksiyon
481	The Apartment (1960)	Komedi
482	Some Like It Hot (1959)	Komedi
483	Casablanca (1942)	Drama
484	The Maltese Falcon (1941)	Suç
485	My Fair Lady (1964)	Drama
486	Sabrina (1954)	Romantik
487	Roman Holiday (1953)	Romantik
488	Sunset Blvd (1950)	Drama
489	Notorious (1946)	Drama
490	To Catch a Thief (1955)	Aksiyon
491	The Adventures of Robin Hood (1938)	Aksiyon
492	East of Eden (1955)	Drama
493	The Thin Man (1934)	Suç
494	His Girl Friday (1940)	Komedi
495	Around the World in 80 Days (1956)	Aksiyon
496	Its a Wonderful Life (1946)	Drama
497	Bringing Up Baby (1938)	Komedi
498	The African Queen (1951)	Aksiyon
499	Cat on a Hot Tin Roof (1958)	Drama
500	Fly Away Home (1996)	Drama
501	Dumbo (1941)	Animasyon
502	Bananas (1971)	Komedi
503	The Candidate (1972)	Drama
504	Bonnie and Clyde (1967)	Suç
505	Dial M for Murder (1954)	Gizem
506	Rebel Without a Cause (1955)	Drama
507	A Streetcar Named Desire (1951)	Drama
508	The People vs Larry Flynt (1996)	Drama
509	My Left Foot (1989)	Drama
510	The Magnificent Seven (1954)	Aksiyon
511	Lawrence of Arabia (1962)	Drama
512	Wings of Desire (1987)	Fantastik
513	The Third Man (1949)	Gizem
514	Annie Hall (1977)	Komedi
515	Das Boot (1981)	Drama
516	Local Hero (1983)	Drama
517	Manhattan (1979)	Drama
518	Millers Crossing (1990)	Suç
519	The Treasure of the Sierra Madre (1948)	Macera
520	The Great Escape (1963)	Aksiyon
521	The Deer Hunter (1978)	Drama
522	Down by Law (1986)	Suç
523	Cool Hand Luke (1967)	Drama
524	The Great Dictator (1940)	Komedi
525	The Big Sleep (1946)	Suç
526	Ben-Hur (1959)	Aksiyon
527	Gandhi (1982)	Drama
528	The Killing Fields (1984)	Drama
529	My Life as a Dog (1985)	Drama
530	The Man Who Would Be King (1975)	Macera
531	Shine (1996)	Drama
532	Kama Sutra A Tale of Love (1996)	Drama
533	The Daytrippers (1996)	Komedi
534	Traveller (1997)	Drama
535	Addicted to Love (1997)	Komedi
536	Ponette (1996)	Drama
537	My Own Private Idaho (1991)	Drama
538	Anastasia (1997)	Animasyon
539	Mouse Hunt (1997)	Komedi
540	Money Train (1995)	Aksiyon
541	Mortal Kombat (1995)	Aksiyon
542	Pocahontas (1995)	Animasyon
543	Les Misarables (1995)	Drama
544	Things to Do in Denver when Youre Dead (1995)	Suç
545	Vampire in Brooklyn (1995)	Komedi
546	Broken Arrow (1996)	Aksiyon
547	The Young Poisoners Handbook (1995)	Suç
548	The NeverEnding Story III (1994)	Aile
549	Rob Roy (1995)	Aksiyon
550	Die Hard With a Vengeance (1995)	Aksiyon
551	Lord of Illusions (1995)	Korku
552	Species (1995)	Bilim Kurgu
553	A Walk in the Clouds (1995)	Drama
554	Waterworld (1995)	Aksiyon
555	White Mans Burden (1995)	Drama
556	Wild Bill (1995)	Aksiyon
557	Farinelli il castrato (1994)	Biyografi
558	Heavenly Creatures (1994)	Drama
559	Interview with the Vampire (1994)	Korku
560	A Kid in King Arthurs Court (1995)	Aile
561	Mary Shelleys Frankenstein (1994)	Drama
562	The Quick and the Dead (1995)	Aksiyon
563	Stephen Kings The Langoliers (1995)	Drama
564	Tales from the Hood (1995)	Korku
565	Village of the Damned (1995)	Korku
566	Clear and Present Danger (1994)	Aksiyon
567	Wes Cravens New Nightmare (1994)	Korku
568	Speed (1994)	Aksiyon
569	Wolf (1994)	Drama
570	Wyatt Earp (1994)	Aksiyon
571	Another Stakeout (1993)	Suç
572	Blown Away (1994)	Aksiyon
573	Body Snatchers (1993)	Bilim Kurgu
574	Boxing Helena (1993)	Drama
575	City Slickers II The Legend of Curlys Gold (1994)	Komedi
576	Cliffhanger (1993)	Aksiyon
577	Coneheads (1993)	Komedi
578	Demolition Man (1993)	Aksiyon
579	Fatal Instinct (1993)	Komedi
580	The Englishman Who Went Up a Hill But Came Down a Mountain (1995)	Komedi
581	Kalifornia (1993)	Drama
582	The Piano (1993)	Drama
583	Romeo Is Bleeding (1993)	Suç
584	The Secret Garden (1993)	Drama
585	Son in Law (1993)	Komedi
586	Terminal Velocity (1994)	Aksiyon
587	The Hour of the Pig (1993)	Drama
588	Beauty and the Beast (1991)	Animasyon
589	The Wild Bunch (1969)	Aksiyon
590	Hellraiser Bloodline (1996)	Korku
591	Primal Fear (1996)	Suç
592	True Suç (1995)	Suç
593	Stalingrad (1993)	Drama
594	Heavy (1995)	Drama
595	The Fan (1996)	Drama
596	The Hunchback of Notre Dame (1996)	Animasyon
597	Eraser (1996)	Aksiyon
598	The Big Squeeze (1996)	Drama
599	Police Story 4 Project S (1993)	Aksiyon
600	Daniel Defoes Robinson Crusoe (1996)	Macera
601	For Whom the Bell Tolls (1943)	Drama
602	An American in Paris (1951)	Müzikal
603	Rear Window (1954)	Gizem
604	It Happened One Night (1934)	Komedi
605	Meet Me in St Louis (1944)	Drama
606	All About Eve (1950)	Drama
607	Rebecca (1940)	Drama
608	Spellbound (1945)	Gizem
609	Father of the Bride (1950)	Komedi
610	Gigi (1958)	Müzikal
611	Laura (1944)	Drama
612	Lost Horizon (1937)	Drama
613	My Man Godfrey (1936)	Komedi
614	Giant (1956)	Drama
615	The 39 Steps (1935)	Gizem
616	Night of the Living Dead (1968)	Korku
617	The Blue Angel (1930)	Drama
618	Picnic (1955)	Drama
619	Extreme Measures (1996)	Drama
620	The Chamber (1996)	Suç
621	King of the Wild Frontier (1955)	Aksiyon
622	Swiss Family Robinson (1960)	Aile
623	Angels in the Outfield (1994)	Komedi
624	The Three Caballeros (1945)	Animasyon
625	The Sword in the Stone (1963)	Animasyon
626	So Dear to My Heart (1949)	Drama
627	Robin Hood Prince of Thieves (1991)	Aksiyon
628	Sleepers (1996)	Suç
629	Victor Victoria (1982)	Komedi
630	The Great Race (1965)	Aksiyon
631	The Crying Game (1992)	Drama
632	Sophies Choice (1982)	Drama
633	A Christmas Carol (1938)	Drama
634	Microcosmos Le peuple de lherbe (1996)	Belgesel
635	The Fog (1980)	Korku
636	Escape from New York (1981)	Aksiyon
637	The Howling (1981)	Korku
638	The Return of Martin Guerre (1982)	Drama
639	The Tin Drum (1979)	Drama
640	The Cook the Thief His Wife & Her Lover (1989)	Drama
641	Paths of Glory (1957)	Drama
642	The Grifters (1990)	Drama
643	The Innocent (1994)	Drama
644	The Thin Blue Line (1988)	Belgesel
645	Paris Is Burning (1990)	Belgesel
646	Once Upon a Time in the West (1969)	Kovboy
647	Ran (1985)	Drama
648	The Quiet Man (1952)	Drama
649	Once Upon a Time in America (1984)	Suç
650	The Seventh Seal (1957)	Drama
651	Glory (1989)	Drama
652	Rosencrantz and Guildenstern Are Dead (1990)	Drama
653	Touch of Evil (1958)	Suç
654	Chinatown (1974)	Drama
655	Stand by Me (1986)	Drama
656	M (1931)	Suç
657	The Manchurian Candidate (1962)	Drama
658	Pump Up the Volume (1990)	Drama
659	Arsenic and Old Lace (1944)	Komedi
660	Fried Green Tomatoes (1991)	Drama
661	High Noon (1952)	Kovboy
662	Somewhere in Time (1980)	Drama
663	Being There (1979)	Komedi
664	Texas Paris (1984)	Drama
665	Alien 3 (1992)	Bilim Kurgu
666	Blood For Dracula (1974)	Korku
667	Audrey Rose (1977)	Drama
668	Blood Beach (1981)	Korku
669	Body Parts (1991)	Korku
670	Body Snatchers (1993)	Bilim Kurgu
671	Bride of Frankenstein (1935)	Korku
672	Candyman (1992)	Korku
673	Cape Fear (1962)	Drama
674	Cat People (1982)	Korku
675	Nosferatu (1922)	Korku
676	The Crucible (1996)	Drama
677	Fire on the Mountain (1996)	Belgesel
678	Volcano (1997)	Aksiyon
679	Conan the Barbarian (1981)	Aksiyon
680	Kull the Conqueror (1997)	Aksiyon
681	Wishmaster (1997)	Korku
682	I Know What You Did Last Summer (1997)	Suç
683	Rocket Man (1997)	Komedi
684	In the Line of Fire (1993)	Aksiyon
685	Executive Decision (1996)	Aksiyon
686	A Perfect World (1993)	Suç
687	McHales Navy (1997)	Komedi
688	Leave It to Beaver (1997)	Komedi
689	The Jackal (1997)	Aksiyon
690	Seven Years in Tibet (1997)	Drama
691	Dark City (1998)	Bilim Kurgu
692	The American President (1995)	Drama
693	Casino (1995)	Suç
694	Persuasion (1995)	Drama
695	Kicking and Screaming (1995)	Drama
696	City Hall (1996)	Drama
697	The Basketball Diaries (1995)	Drama
698	The Browning Version (1994)	Drama
699	Little Women (1994)	Drama
700	Miami Rhapsody (1995)	Komedi
701	The Wonderful Horrible Life of Leni Riefenstahl (1993)	Belgesel
702	Barcelona (1994)	Komedi
703	Widows Peak (1994)	Drama
704	The House of the Spirits (1993)	Drama
705	Singin in the Rain (1952)	Müzikal
706	Bad Moon (1996)	Korku
